test_set,tr_epoch,pred,label,test_score
0.2,20,[1 1 1 0 0 0 1 1 0 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0],"[1.114831805229187, 0.4166666567325592]"
0.2,50,[1 1 1 1 0 0 1 1 0 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0],"[1.0114738941192627, 0.3333333432674408]"
0.2,100,[1 1 1 1 0 0 1 1 0 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0],"[1.0068113803863525, 0.3333333432674408]"
0.3,20,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 0 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0],"[0.9095809459686279, 0.4444444477558136]"
0.3,50,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0],"[0.9005572199821472, 0.3888888955116272]"
0.3,100,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0],"[0.8946654796600342, 0.3888888955116272]"
0.4,20,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0],"[1.0107816457748413, 0.375]"
0.4,50,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0],"[1.115151286125183, 0.375]"
0.4,100,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0],"[1.1975748538970947, 0.4166666567325592]"
0.5,20,[1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1],"[0.9936808347702026, 0.5666666626930237]"
0.5,50,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1],"[1.0182559490203857, 0.5]"
0.5,100,[1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1],"[0.9648962616920471, 0.5]"
